config_id,gap,u,v,direct,formula,absolute_error,minimum_state_branch_margin
delta0.5_K32_radius0.125_transverse,2.0,0.742255197475409,0.757744802524591,1.9992775933696818,1.9992775933696818,0.0,0.38417095302540344
delta0.5_K32_radius0.125_transverse,2.0,0.75,0.742255197475409,1.9988673348701607,1.9988673348701607,0.0,0.37200049361752047
delta0.5_K32_radius0.125_transverse,2.0,0.75,0.75,1.9990040877033344,1.9990040877033344,0.0,0.38417309052636656
delta0.5_K32_radius0.125_transverse,2.0,0.75,0.757744802524591,1.999140840536508,1.999140840536508,0.0,0.38417095302540344
delta0.5_K32_radius0.125_transverse,2.0,0.757744802524591,0.742255197475409,1.998730582036987,1.998730582036987,0.0,0.35962090295805677
delta0.5_K32_radius0.125_transverse,2.0,0.757744802524591,0.75,1.9988673348701607,1.9988673348701607,0.0,0.3720004936175207
delta0.5_K32_radius0.125_transverse,2.0,0.757744802524591,0.757744802524591,1.9990040877033344,1.9990040877033344,0.0,0.38417095302540344
delta0.5_K32_radius0.015625_transverse,-2.0,0.7490318996844262,0.7490318996844262,-1.9990040877033344,-1.9990040877033344,0.0,0.384173357713987
delta0.5_K32_radius0.015625_transverse,-2.0,0.7490318996844262,0.75,-1.9989869935991877,-1.9989869935991877,0.0,0.3828326354445515
delta0.5_K32_radius0.015625_transverse,-2.0,0.7490318996844262,0.7509681003155738,-1.998969899495041,-1.998969899495041,0.0,0.38128518661211874
delta0.5_K32_radius0.015625_transverse,-2.0,0.75,0.7490318996844262,-1.9990211818074812,-1.999021181807481,2.220446049250313e-16,0.38417309052636656
delta0.5_K32_radius0.015625_transverse,-2.0,0.75,0.75,-1.9990040877033344,-1.9990040877033344,0.0,0.38417309052636656
delta0.5_K32_radius0.015625_transverse,-2.0,0.75,0.7509681003155738,-1.9989869935991877,-1.9989869935991877,0.0,0.3828326354445517
delta0.5_K32_radius0.015625_transverse,-2.0,0.7509681003155738,0.7490318996844262,-1.9990382759116279,-1.9990382759116279,0.0,0.38417282333874614
delta0.5_K32_radius0.015625_transverse,-2.0,0.7509681003155738,0.75,-1.999021181807481,-1.999021181807481,0.0,0.38417282333874614
delta0.5_K32_radius0.015625_transverse,-2.0,0.7509681003155738,0.7509681003155738,-1.9990040877033344,-1.9990040877033344,0.0,0.38417282333874614
